review_id,sample_id,target_paper,case_type,task_mode,difficulty,review_reason,requirement_nl,clarified_requirement,oracle_answer,signal_context,predicted_formula,gold_formula,alternative_gold_stl,predicted_question,gold_clarification_question,equivalence_hint,affected_condition_count,affected_conditions,reviewer_1_decision,reviewer_1_error_category,reviewer_1_notes,reviewer_2_decision,reviewer_2_error_category,reviewer_2_notes,final_decision,final_error_category,final_notes
MR-001,NLSTL150-007,DeepSTL,limitation_probe,translate,3,Valid but non-identical formula; semantic equivalence not established,"At all times, at least one of the primary, secondary, or emergency pump must be running.",,,"Boolean (1=true, 0=false): `pump_primary`, `pump_secondary`, `pump_emergency`. Time: seconds. Use these exact identifiers; do not create aliases.",G(pump_primary | pump_secondary | pump_emergency),G((pump_primary = 1) | (pump_secondary = 1) | (pump_emergency = 1)),,,,"Possible Boolean-shorthand equivalence (e.g., x versus x = 1); confirm signal_context declares the identifier Boolean.",1,Anthropic direct,,,,,,,,,
MR-002,NLSTL150-010,DeepSTL,limitation_probe,translate,3,Valid but non-identical formula; semantic equivalence not established,"The door must be closed now, and a lock confirmation must arrive within 2 seconds.",,,"Boolean (1=true, 0=false): `door_closed`, `lock_confirmed`. Time: seconds. Use these exact identifiers; do not create aliases.","door_closed & F[0,2](lock_confirmed)","(door_closed = 1) & F[0,2](lock_confirmed = 1)",,,,,1,Anthropic direct,,,,,,,,,
MR-003,NLSTL150-011,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever a fault occurs, recovery must begin within 5 seconds and then remain active for 10 seconds.",,,"Boolean (1=true, 0=false): `fault`, `recovery`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(fault) -> F[0,5](rise(recovery) & G[0,10](recovery)))","G(rise(fault = 1) -> F[0,5](G[0,10](recovery = 1)))",,,,,3,Anthropic direct; Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
MR-004,NLSTL150-012,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,The robot must remain outside the hazard zone until it reaches the charging station within 60 seconds.,,,"Boolean (1=true, 0=false): `hazard_zone`, `charging_station`. Time: seconds. Use these exact identifiers; do not create aliases.","(!hazard_zone) U[0,60] (charging_station)","(!(hazard_zone = 1)) U[0,60] (charging_station = 1)",,,,,3,Anthropic direct; Clarify-inspired Anthropic; OpenAI direct,,,,,,,,,
MR-005,NLSTL150-012,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,The robot must remain outside the hazard zone until it reaches the charging station within 60 seconds.,,,"Boolean (1=true, 0=false): `hazard_zone`, `charging_station`. Time: seconds. Use these exact identifiers; do not create aliases.","(hazard_zone = 0) U[0,60] (charging_station = 1)","(!(hazard_zone = 1)) U[0,60] (charging_station = 1)",,,,,1,Clarify-inspired OpenAI,,,,,,,,,
MR-006,NLSTL150-013,DeepSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,"Whenever reset is issued, the fault flag must have been false throughout the preceding 5 seconds.",,,"Boolean (1=true, 0=false): `reset`, `fault`. Time: seconds. Use these exact identifiers; do not create aliases.","G(reset -> H[0,5](!fault))","G((reset = 1) -> H[0,5](fault = 0))",,,,,1,Anthropic direct,,,,,,,,,
MR-007,NLSTL150-014,DeepSTL,limitation_probe,translate,5,Valid but non-identical formula; semantic equivalence not established,The warning must have remained active since the most recent loss-of-signal event.,,,"Boolean (1=true, 0=false): `warning`, `loss_of_signal`. Time: follows the requirement; unbounded operators have no finite interval. Use these exact identifiers; do not create aliases.",(warning) S (loss_of_signal),(warning = 1) S (loss_of_signal = 1),,,,,1,Anthropic direct,,,,,,,,,
MR-008,NLSTL150-015,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever enable rises, output must turn on within 1 second; whenever enable falls, output must turn off within 1 second.",,,"Boolean (1=true, 0=false): `enable`, `output`. Semantics: `rise(p)` = false-to-true edge; `fall(p)` = true-to-false edge. Time: seconds. Use these exact identifiers; do not create aliases.","G((rise(enable = 1)) -> F[0,1](rise(output = 1))) & G((fall(enable = 1)) -> F[0,1](fall(output = 1)))","G(rise(enable = 1) -> F[0,1](output = 1)) & G(fall(enable = 1) -> F[0,1](output = 0))",,,,,1,Clarify-inspired OpenAI,,,,,,,,,
MR-009,NLSTL150-015,DeepSTL,limitation_probe,translate,4,Valid but non-identical formula; semantic equivalence not established,"Whenever enable rises, output must turn on within 1 second; whenever enable falls, output must turn off within 1 second.",,,"Boolean (1=true, 0=false): `enable`, `output`. Semantics: `rise(p)` = false-to-true edge; `fall(p)` = true-to-false edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(enable) -> F[0,1](output = 1)) & G(fall(enable) -> F[0,1](output = 0))","G(rise(enable = 1) -> F[0,1](output = 1)) & G(fall(enable = 1) -> F[0,1](output = 0))",,,,,2,Anthropic direct; OpenAI direct,,,,,,,,,
MR-010,NLSTL150-020,DeepSTL,limitation_probe,clarify_then_translate,4,Valid but non-identical formula; semantic equivalence not established,"Within 20 seconds, if signal A rises, signal B must stay below 3.","Whenever signal A rises, signal B must remain below 3 for the next 20 seconds.",It starts when signal A rises.,"Numeric: `B`. Boolean (1=true, 0=false): `A`. Semantics: `rise(p)` = false-to-true edge. Time: seconds. Use these exact identifiers; do not create aliases.","G(rise(A) -> G[0,20](B < 3))","G(rise(A = 1) -> G[0,20](B < 3))",,"For how long after A rises must B remain below 3 (e.g., until 20 seconds from the start, for 20 seconds after the rise, or indefinitely)?","Does the 20-second interval start now, or when signal A rises?",,3,Clarify-inspired Anthropic; Clarify-inspired OpenAI; OpenAI direct,,,,,,,,,
